Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,PPP,SHG,SHA,SHPTS,GWG,ENG,PIM,Active
David Goyette,NO,88,2004-03-27,2004,5.11,181,RW,Sudbury Wolves,68,40,77,117,1.72,20,9,24,33,1,2,3,1,5,29,1
Anthony Romani,NO,15,2005-07-12,2005,6.01,184,RW,North Bay Battalion,68,58,53,111,1.63,43,14,14,28,0,0,0,7,5,20,1
Dalyn Wakely,NO,14,2004-03-05,2004,6.01,197,C,North Bay Battalion,66,39,65,104,1.58,54,6,15,21,1,1,2,5,3,71,1
Quentin Musty,NO,27,2005-07-06,2005,6.02,202,LW,Sudbury Wolves,53,43,59,102,1.92,19,13,19,32,0,0,0,8,1,72,1
Denver Barkey,NO,86,2005-04-27,2005,5.09,154,LW,London Knights,64,35,67,102,1.59,45,5,26,31,7,4,11,4,1,28,1
Deni Goure,NO,7,2003-07-15,2003,5.11,170,C,Owen Sound Attack,68,36,60,96,1.41,7,10,24,34,3,1,4,8,1,30,1
Easton Cowan,NO,7,2005-05-20,2005,5.1,171,RW,London Knights,54,34,62,96,1.78,38,3,30,33,7,7,14,4,1,64,1
Zayne Parekh,NO,19,2006-02-15,2006,6,180,D,Saginaw Spirit,66,33,63,96,1.45,39,10,24,34,2,0,2,6,1,64,1
Carson Rehkopf,NO,16,2005-01-07,2005,6.01,195,RW,Kitchener Rangers,60,52,43,95,1.58,23,16,16,32,0,0,0,10,2,45,1
Hunter Brzustewicz,NO,4,2004-11-29,2004,6,188,RD,Kitchener Rangers,67,13,79,92,1.37,31,2,22,24,0,1,1,1,0,24,1
Matthew Sop,NO,91,2003-02-04,2003,6,182,C,Kitchener Rangers,67,43,47,90,1.34,19,6,15,21,3,2,5,10,3,59,1
Liam Greentree,NO,66,2006-01-01,2006,6.02,198,LW,Windsor Spitfires,64,36,54,90,1.41,-14,11,12,23,0,4,4,1,3,33,1
Dalibor Dvorský,NO,51,2005-06-15,2005,6.01,201,C,Sudbury Wolves,52,45,43,88,1.69,5,15,17,32,3,0,3,3,1,17,1
Owen Van Steensel,NO,16,2004-08-04,2004,5.1,184,LW,North Bay Battalion,65,41,45,86,1.32,41,8,6,14,3,0,3,1,3,40,1
Jack Beck,NO,12,2003-04-12,2003,6,180,LW,Soo Greyhounds,67,27,58,85,1.27,9,3,32,35,0,1,1,1,0,18,1
Luca Pinelli,NO,20,2005-04-05,2005,5.09,169,LW,Ottawa 67's,68,48,34,82,1.21,1,15,10,25,1,1,2,5,1,44,1
Marek Vanacker,NO,78,2006-04-12,2006,6.01,170,LW,Brantford Bulldogs,68,36,46,82,1.21,7,4,18,22,5,0,5,4,0,55,1
Beau Jelsma,NO,53,2004-04-28,2004,5.09,174,C,Barrie Colts,67,37,44,81,1.21,0,7,18,25,3,1,4,5,4,31,1
Ruslan Gazizov,NO,70,2004-01-21,2004,5.11,185,RW,London Knights,63,36,45,81,1.29,42,10,14,24,5,2,7,6,3,59,1
Owen Beck,NO,62,2004-02-03,2004,6,190,C,Saginaw Spirit,57,34,47,81,1.42,26,10,14,24,2,1,3,9,1,18,1
Luke Misa,NO,33,2005-11-25,2005,5.1,175,C,Mississauga Steelheads,66,26,55,81,1.23,35,6,15,21,1,0,1,3,3,8,1
Oliver Peer,NO,94,2003-03-09,2003,6,170,C,Flint Firebirds,67,37,43,80,1.19,-16,6,15,21,4,1,5,3,2,20,1
Calum Ritchie,NO,21,2005-01-21,2005,6.02,179,C,Oshawa Generals,50,28,52,80,1.6,45,5,14,19,1,0,1,4,3,20,1
Jacob Julien,NO,13,2004-09-12,2004,6.03,170,C,London Knights,67,29,49,78,1.16,32,8,21,29,3,1,4,2,0,53,1
Gavin Hayes,NO,23,2004-05-14,2004,6.02,178,RW,Soo Greyhounds,55,37,39,76,1.38,26,14,9,23,3,2,5,8,5,20,1
Ethan Burroughs,NO,29,2003-06-19,2003,5.1,187,RW,Owen Sound Attack,68,31,45,76,1.12,-4,10,18,28,3,2,5,3,2,66,1
Pano Fimis,NO,98,2004-06-17,2004,5.11,183,C,Erie Otters,68,25,51,76,1.12,5,6,17,23,1,0,1,2,0,53,1
Michael Misa,NO,77,2007-02-16,2007,6,175,LW,Saginaw Spirit,67,29,46,75,1.12,3,11,20,31,0,0,0,4,1,26,1
Braeden Kressler,NO,12,2003-01-05,2003,5.09,170,C,Ottawa 67's,65,28,46,74,1.14,17,9,15,24,1,4,5,3,2,34,1
Jett Luchanko,NO,7,2006-08-21,2006,5.11,183,C,Guelph Storm,68,20,54,74,1.09,-13,3,30,33,1,1,2,3,1,36,1
Rodwin Dionicio,NO,94,2004-03-30,2004,6.02,205,D,Saginaw Spirit,60,25,48,73,1.22,21,8,14,22,0,1,1,2,0,108,1
Dylan Roobroeck,NO,25,2004-07-27,2004,6.07,195,C,Oshawa Generals,68,26,46,72,1.06,23,7,12,19,0,1,1,2,3,101,1
Braeden Bowman,NO,15,2003-06-26,2003,6.02,195,RW,Guelph Storm,68,37,34,71,1.04,-17,16,17,33,2,1,3,7,2,51,1
Porter Martone,NO,94,2006-10-26,2006,6.03,196,RW,Mississauga Steelheads,60,33,38,71,1.18,25,10,11,21,0,1,1,3,2,63,1
Sam Dickinson,NO,3,2006-06-07,2006,6.03,195,D,London Knights,68,18,52,70,1.03,56,11,17,28,0,3,3,2,0,30,1
Justin Ertel,NO,9,2003-05-27,2003,6.02,187,LW,North Bay Battalion,64,25,44,69,1.08,24,3,16,19,4,1,5,4,2,74,1
Paul Ludwinski,NO,19,2004-04-23,2004,5.11,187,C,Kingston Frontenacs,60,23,46,69,1.15,-5,5,17,22,2,0,2,7,0,27,1
Beckett Sennecke,NO,45,2006-01-28,2006,6.03,178,RW,Oshawa Generals,63,27,41,68,1.08,33,7,14,21,0,0,0,7,1,67,1
Sandis Vilmanis,NO,23,2004-01-23,2004,6.02,192,RW,North Bay Battalion,60,38,29,67,1.12,1,9,12,21,1,0,1,7,2,10,1
Hunter Haight,NO,37,2004-04-04,2004,5.11,180,C,Saginaw Spirit,68,25,42,67,0.99,14,6,15,21,0,0,0,3,1,28,1
Oliver Bonk,NO,59,2005-01-09,2005,6.02,179,D,London Knights,60,24,43,67,1.12,28,15,18,33,0,5,5,5,0,32,1
Ryan Abraham,NO,12,2004-04-05,2004,5.08,168,C,Windsor Spitfires,64,31,35,66,1.03,-29,4,14,18,1,1,2,2,1,82,1
Patrick Thomas,NO,93,2004-08-21,2004,6,175,C,Brantford Bulldogs,57,21,45,66,1.16,9,8,13,21,1,0,1,2,2,10,1
Florian Xhekaj,NO,43,2004-06-27,2004,6.04,190,LW,Brantford Bulldogs,63,34,31,65,1.03,17,5,10,15,1,0,1,6,1,81,1
Jacob Battaglia,NO,88,2006-03-17,2006,6,203,RW,Kingston Frontenacs,67,31,34,65,0.97,-15,12,10,22,0,0,0,1,0,34,1
